#{"t_start": 1777807283.4421492, "env_id": "None"}
r,l,t
-14.05,46,148.051417
25.55,34,148.072418
-542.65,200,148.189969
43.5,32,148.207972
-33.85,54,148.237637
33.5,41,148.259651
-499.3,200,148.364442
-507.15,200,149.136415
39.85,29,149.15849
-173.75,116,149.231906
-10.35,53,149.267908
-57.35,66,149.313948
-511.6,200,149.431341
-471.45,200,149.541143
25.35,40,149.562146
-522.65,200,149.666941
14.25,46,149.691936
-105.0,78,150.365539
90.55,9,150.371538
-246.15,136,150.465063
65.65,19,150.480063
-117.35,92,150.544575
102.85,11,150.552575
-114.9,90,150.606571
-184.45,112,150.670794
97.0,10,150.676793
-481.15,200,150.783645
-510.25,200,150.888567
-68.25,68,150.924748
8.2,47,151.999405
98.0,3,152.002405
82.75,13,152.013405
-21.35,56,152.054971
-542.55,200,152.196551
-496.3,200,152.398741
7.5,55,152.432519
-20.3,51,152.463511
11.95,45,152.490514
-67.0,77,152.534328
-156.45,117,152.598321
100.0,1,152.599324
-13.55,59,152.631102
-134.75,99,152.682098
47.95,36,153.156426
-455.35,200,153.293037
-518.55,200,153.419777
-489.65,200,153.53228
-141.1,109,153.590264
-525.6,200,153.694071
-465.55,200,154.290032
-71.85,79,154.344548
-37.9,53,154.380656
-498.65,200,154.501449
82.25,10,154.507458
-526.15,200,154.617234
-54.2,56,154.648022
-479.85,200,154.750804
-80.25,72,154.788801
97.05,17,154.797807
-64.95,82,155.410934
-21.45,62,155.455467
21.65,41,155.486445
64.15,15,155.495445
-633.25,200,155.624228
-154.0,103,155.685959
-49.8,62,155.7224
29.55,41,155.746102
94.0,7,155.750098
-157.3,111,155.810098
-488.3,200,155.91818
-50.75,70,155.953956
-530.4,200,156.547766
95.7,7,156.553766
-564.1,200,156.687256
-208.05,137,156.765078
92.05,16,156.77407
-0.35,47,156.799088
102.0,3,156.801086
100.0,1,156.80209
35.85,38,156.823176
-27.65,64,156.857869
-168.0,113,156.915864
-533.4,200,157.020651
-395.6,184,157.595699
-39.45,69,157.641819
-23.0,55,157.677716
-510.75,200,157.801519
-575.2,200,157.911298
82.45,21,157.923412
57.5,18,157.933404
79.25,12,157.940091
29.65,38,157.961096
-1.95,56,157.990095
31.15,29,158.006084
-316.5,175,158.094879
-193.7,123,158.666337
-647.25,200,158.798757
-649.15,200,158.916422
-516.6,200,159.025294
-497.8,200,159.128087
-498.05,200,159.718212
-131.1,94,159.777095
-501.1,200,159.913614
101.0,2,159.915614
-114.8,84,159.964387
-229.4,130,160.037489
92.2,5,160.042184
-471.8,200,160.149982
-115.55,84,160.192984
39.0,31,160.208975
-354.25,150,161.087379
66.3,18,161.100379
90.7,10,161.106379
-150.25,107,161.175894
-209.05,128,161.2554
72.3,15,161.2644
-525.05,200,161.385113
-69.7,77,161.428198
101.0,2,161.429192
-515.85,200,161.535981
87.55,14,161.543568
25.95,41,161.564663
-606.45,200,162.142606
69.55,25,162.159125
55.4,29,162.178125
32.35,38,162.204124
-123.8,104,162.269657
-513.05,200,162.396452
-308.45,178,162.498228
-565.9,200,162.605997
-576.8,200,162.706691
-131.4,101,163.252215
-491.2,200,163.386236
-393.2,186,163.504096
-104.75,96,163.558879
31.3,40,163.581876
1.8,47,163.607793
101.0,2,163.609795
-236.65,148,163.695739
-544.85,200,163.813448
-501.0,200,164.407809
4.3,42,164.436904
100.0,1,164.437903
-246.85,141,164.529578
77.95,17,164.540584
-67.95,81,164.587359
-124.6,94,164.639468
-198.85,129,164.713058
-615.35,200,164.846826
-515.15,200,165.444918
16.9,48,165.477522
-31.25,69,165.520433
-493.3,200,165.650342
-115.95,102,165.708339
20.15,37,165.73035
94.85,3,165.732342
36.85,43,165.756147
5.1,55,165.787151
-132.95,98,165.840236
-164.6,100,165.891921
97.85,10,165.897925
-623.65,200,165.999357
-548.6,200,166.599329
68.95,19,166.613329
-46.0,81,166.666847
94.85,3,166.668847
-626.1,200,166.786669
95.85,4,166.789671
-57.45,67,166.826658
-28.1,72,166.867344
-327.85,169,166.956863
-348.3,178,167.04787
-69.6,71,167.55642
-506.1,200,167.691929
-127.65,104,167.758498
83.75,10,167.764497
-590.45,200,167.881378
-503.9,200,167.988074
-269.65,149,168.063505
91.2,8,168.068506
-97.05,82,168.110505
-550.85,200,168.830789
-577.05,200,168.966887
-174.25,120,169.039075
-590.4,200,169.148859
-511.7,200,169.25593
83.25,12,169.262936
45.6,34,169.280934
-186.4,119,170.099322
52.6,27,170.118322
-28.35,50,170.150328
27.2,37,170.174843
-275.0,148,170.266389
32.15,30,170.287392
84.4,10,170.293395
-525.0,200,170.414965
10.3,44,170.439971
74.15,28,170.455483
51.55,18,170.466483
-33.6,63,170.500483
-177.25,114,170.56
92.7,4,170.562001
-519.7,200,170.678727
37.5,30,170.696723
-227.1,142,171.308482
36.0,34,171.32948
91.85,12,171.337495
-319.45,147,171.43148
62.85,31,171.451492
-487.0,200,171.569571
-181.45,117,171.63357
101.0,2,171.63557
-139.4,106,171.693093
-522.0,200,171.79561
84.25,12,171.80261
-792.8,200,172.525651
-826.85,200,172.633175
114.0,15,172.640182
104.0,5,172.643182
100.0,1,172.643182
-823.7,200,172.732708
102.0,3,172.733709
-821.4,200,172.81948
-826.85,200,172.901929
-800.8,200,172.981451
